code: 4503, date: 20241127, term: 4, name: アステラス製薬, rate: -12.04%, index1: 1781.5(2024/11/01), index2: 1567(2024/11/27), alert: 1
code: 4503, date: 20241127, term: 6, name: アステラス製薬, rate: -11.07%, index1: 1762(2024/10/18), index2: 1567(2024/11/27), alert: 1
code: 4503, date: 20241127, term: 7, name: アステラス製薬, rate: -10.48%, index1: 1750.5(2024/10/11), index2: 1567(2024/11/27), alert: 1
code: 9434, date: 20241127, term: 10, name: ソフトバンク, rate: -90.36%, index1: 1981(2024/09/20), index2: 190.9(2024/11/27), alert: 1
code: 8725, date: 20241127, term: 2, name: ＭＳ＆ＡＤインシュアランスグループホール, rate: -8.44%, index1: 3624(2024/11/15), index2: 3318(2024/11/27), alert: 1
code: 8411, date: 20241127, term: 4, name: みずほフィナンシャルグループ, rate: 15.26%, index1: 3210(2024/11/01), index2: 3700(2024/11/27), alert: 1
code: 8411, date: 20241127, term: 5, name: みずほフィナンシャルグループ, rate: 19.90%, index1: 3086(2024/10/25), index2: 3700(2024/11/27), alert: 1
code: 8411, date: 20241127, term: 6, name: みずほフィナンシャルグループ, rate: 15.48%, index1: 3204(2024/10/18), index2: 3700(2024/11/27), alert: 1
code: 8411, date: 20241127, term: 7, name: みずほフィナンシャルグループ, rate: 21.39%, index1: 3048(2024/10/11), index2: 3700(2024/11/27), alert: 1
code: 8411, date: 20241127, term: 8, name: みずほフィナンシャルグループ, rate: 24.58%, index1: 2970(2024/10/04), index2: 3700(2024/11/27), alert: 1
code: 8411, date: 20241127, term: 9, name: みずほフィナンシャルグループ, rate: 31.30%, index1: 2818(2024/09/27), index2: 3700(2024/11/27), alert: 1
code: 8411, date: 20241127, term: 10, name: みずほフィナンシャルグループ, rate: 28.01%, index1: 2890.5(2024/09/20), index2: 3700(2024/11/27), alert: 1
code: 7267, date: 20241127, term: 4, name: 本田技研工業, rate: -15.19%, index1: 1524(2024/11/01), index2: 1292.5(2024/11/27), alert: 1
code: 7267, date: 20241127, term: 5, name: 本田技研工業, rate: -15.00%, index1: 1520.5(2024/10/25), index2: 1292.5(2024/11/27), alert: 1
